AgentID,Episode,Conversation_Length,Conversation_With_Like,People_Around_To_Talk,Action
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,7,1,1,1,4
0,7,2,1,1,4
0,7,3,1,1,4
0,7,4,1,1,4
0,7,5,1,1,1
0,7,0,1,1,3
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,0,2
0,8,0,0,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,0,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,0,1
0,8,0,1,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,0,1,4
0,8,2,0,1,2
0,8,0,0,1,3
0,8,1,1,1,4
0,8,2,1,1,4
0,8,3,1,1,4
0,8,4,1,1,4
0,8,5,1,1,1
0,8,0,1,1,3
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,0,2
0,9,0,0,0,2
0,9,0,0,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,1,3
0,9,1,0,1,4
0,9,2,0,1,2
0,9,0,0,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,0,1
0,9,0,1,1,3
0,9,1,1,1,4
0,9,2,1,1,4
0,9,3,1,1,4
0,9,4,1,1,4
0,9,5,1,1,1
0,9,0,1,0,1
0,9,0,1,1,3
0,9,1,0,1,4
